Report Type,Total Sales,Total Transactions
1,76,5
2,100,5
3,1357.76,81
4,673.6,43
5,222.96,17
6,458.96,34
7,104,6
8,268,21
9,232,16
10,892,65
11,212,17
12,252,21
13,204,17
14,120,10
15,96,6
16,340,23
17,36,3
18,36,3
19,200,12
20,84,5
21,0,0
22,0,0
23,0,0
24,617,28
25,141,8
26,408,25
27,477.5,35
28,149,13
29,146,15
30,171,16
31,1316,107
Total,9390.78,657
