Report Type,Total Sales,Total Transactions
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,12.6,1
10,25.2,2
11,0,0
12,0,0
13,362.4,30
14,0,0
15,60,5
16,132,11
17,528,44
18,339.9,27
19,211.65,13
20,547.65,41
21,0,0
22,111.9,8
23,204,17
24,79.95,6
25,187.65,11
26,91.8,5
27,538.8,29
28,72,6
29,24,2
30,0,0
31,24,2
Total,3553.5,260
