Report Type,Total Sales,Total Transactions
1,108,7
2,80,4
3,15,1
4,80,4
5,40,2
6,0,0
7,180,9
8,0,0
9,40,2
10,0,0
11,240,12
12,20,1
13,0,0
14,0,0
15,0,0
16,0,0
17,45,3
18,0,0
19,60,4
20,105,6
21,0,0
22,40,2
23,60,3
24,100,5
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
Total,1213,65
