Report Type,Total Sales,Total Transactions
1,0,0
2,0,0
3,72,6
4,92,7
5,36,3
6,0,0
7,0,0
8,0,0
9,20,1
10,36,3
11,112,6
12,0,0
13,84,7
14,40,2
15,0,0
16,92,7
17,0,0
18,36,3
19,0,0
20,0,0
21,272,20
22,0,0
23,12,1
24,20,1
25,20,1
26,0,0
27,284,21
28,0,0
29,15,1
30,0,0
31,12,1
Total,1255,91
