Report Type,Total Sales,Total Transactions
1,96,8
2,127.95,10
3,359.85,28
4,19.95,1
5,0,0
6,31.95,2
7,219.75,15
8,355.95,29
9,219.45,11
10,478.8,24
11,159.6,8
12,0,0
13,19.95,1
14,59.85,3
15,283.95,23
16,187.65,11
17,558.6,28
18,0,0
19,0,0
20,59.85,3
21,109.9,7
22,0,0
23,79.8,4
24,279.3,14
25,0,0
26,0,0
27,79.8,4
28,383.1,20
29,551.5,39
30,123.9,9
31,659.85,52
Total,5506.25,354
