Report Type,Total Sales,Total Transactions
1,467.25,29
2,127.8,8
3,117.95,9
4,257.9,20
5,638.85,38
6,59.85,3
7,0,0
8,55.95,4
9,423.6,30
10,132,11
11,315.85,24
12,437.55,30
13,0,0
14,60,5
15,182,15
16,349.55,23
17,115.95,9
18,649.1,42
19,415.5,27
20,170.96,12
21,195,11
22,116,9
23,841,60
24,153,12
25,297,22
26,132,10
27,419,31
28,155,12
29,282,18
30,216,17
31,236,18
Total,8019.61,559
