Report Type,Total Sales,Total Transactions
1,344,21
2,403,29
3,208,14
4,0,0
5,132,10
6,194,12
7,380,31
8,213,17
9,597,45
10,87,5
11,0,0
12,168,13
13,191,11
14,220,11
15,95,5
16,404,21
17,100,5
18,60,3
19,20,1
20,20,1
21,92,7
22,80,4
23,356,23
24,0,0
25,0,0
26,0,0
27,32,2
28,64,4
29,32,2
30,20,1
Total,4512,298
