Report Type,Total Sales,Total Transactions
1,36,3
2,12,1
3,20,1
4,24,2
5,1512,126
6,228,19
7,432,36
8,1569,125
9,284,23
10,36,3
11,66,5
12,811,64
13,228,17
14,302,22
15,1071,78
16,223,17
17,151,11
18,604,47
19,1417,109
20,731,58
21,484,35
22,409,32
23,252,21
24,212,17
25,114,9
26,486,39
27,192,13
28,937,66
29,802.96,56
30,59.84,4
Total,13705.8,1059
