Report Type,Total Sales,Total Transactions
1,211.95,17
2,75.9,5
3,48,4
4,0,0
5,0,0
6,48,4
7,12,1
8,36,3
9,63.9,4
10,315.9,25
11,251.7,17
12,60,5
13,0,0
14,175.95,14
15,84,7
16,79.95,6
17,120,10
18,0,0
19,24,2
20,24,2
21,39.9,2
22,60,5
23,96,8
24,279.75,20
25,84,7
26,0,0
27,179.55,9
28,431.25,26
Total,2801.7,203
