Report Type,Total Sales,Total Transactions
1,155.7,9
2,303.9,24
3,182,15
4,313.7,22
5,79.95,6
6,115.95,9
7,201.95,16
8,215.85,16
9,335.55,22
10,51.9,3
11,59.85,3
12,131.7,7
13,0,0
14,0,0
15,0,0
16,279.45,16
17,0,0
18,59.85,3
19,483.9,39
20,359.85,28
21,179.85,13
22,143.85,10
23,24,2
24,96,8
25,383.4,24
26,115.95,9
27,283.65,19
28,369.8,28
29,179.85,13
30,12,1
Total,5119.4,365
