Report Type,Total Sales,Total Transactions
1,358,30
2,236,21
3,770,68
4,376,26
5,117,9
6,311,26
7,274,26
8,356,29
9,475,41
10,373,26
11,50,4
12,113,10
13,29,2
14,295,25
15,307,26
16,101,8
17,711,43
18,320,27
19,384,32
20,20,2
21,142,12
22,61,4
23,122,8
24,746,49
25,1334,87
26,332,25
27,253,18
28,1117,74
29,822,49
30,1088,86
Total,11993,893
