"Type";"Beløb";"Dato";"Tid";"Besked";"Gebyr";"Saldo"
"Salg";8,00;02-01-2018;11:04;"";0,60;8,00
"Salg";4,50;02-01-2018;14:21;"";0,60;12,50
"Salg";15,00;02-01-2018;15:59;"";0,60;27,50
"Salg";9,00;02-01-2018;16:11;"";0,60;36,50
"Salg";18,00;02-01-2018;16:30;"";0,60;54,50
"Salg";4,50;02-01-2018;19:19;"";0,60;59,00
"Salg";4,50;02-01-2018;20:10;"";0,60;63,50
"Salg";5,00;02-01-2018;21:32;"";0,60;68,50
"Salg";10,00;02-01-2018;23:18;"";0,60;78,50
"Gebyr";5,40;03-01-2018;03:03;"Gebyr";;73,10
"Overførsel";73,10;03-01-2018;03:03;"Udbetaling til konto";5,40;0,00
"Salg";9,00;03-01-2018;13:20;"";0,60;9,00
"Salg";11,00;03-01-2018;13:58;"";0,60;20,00
"Salg";13,00;03-01-2018;15:42;"";0,60;33,00
"Salg";5,00;03-01-2018;15:42;"";0,60;38,00
"Salg";5,00;03-01-2018;16:59;"";0,60;43,00
"Salg";14,00;03-01-2018;18:46;"";0,60;57,00
"Salg";14,00;03-01-2018;18:47;"";0,60;71,00
"Gebyr";4,20;04-01-2018;03:03;"Gebyr";;66,80
"Overførsel";66,80;04-01-2018;03:03;"Udbetaling til konto";4,20;0,00
"Salg";10,00;04-01-2018;13:08;"";0,60;10,00
"Salg";5,00;04-01-2018;13:59;"";0,60;15,00
"Salg";5,00;04-01-2018;15:35;"";0,60;20,00
"Salg";10,00;04-01-2018;15:38;"";0,60;30,00
"Salg";15,00;04-01-2018;16:06;"";0,60;45,00
"Salg";5,00;04-01-2018;16:29;"";0,60;50,00
"Gebyr";3,60;05-01-2018;03:03;"Gebyr";;46,40
"Overførsel";46,40;05-01-2018;03:03;"Udbetaling til konto";3,60;0,00
"Salg";16,00;05-01-2018;12:16;"";0,60;16,00
"Salg";5,00;05-01-2018;12:16;"";0,60;21,00
"Salg";9,00;05-01-2018;17:15;"";0,60;30,00
"Gebyr";1,80;06-01-2018;03:03;"Gebyr";;28,20
