Report Type,Total Sales,Total Transactions
1,14,1
2,14,1
3,0,0
4,12,1
5,92,7
6,50,4
7,82,5
8,342,24
9,42,3
10,0,0
11,34,2
12,62,4
13,0,0
14,88,5
15,136,8
16,0,0
17,42,3
18,42,3
19,258,18
20,34,2
21,102,6
22,500,31
23,260,13
24,0,0
25,48,4
26,332,25
27,126,9
28,242,13
Total,2954,192
