Report Type,Total Sales,Total Transactions
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,112,8
9,28,2
10,28,2
11,0,0
12,98,7
13,0,0
14,84,6
15,0,0
16,0,0
17,0,0
18,0,0
19,14,1
20,0,0
21,28,2
22,0,0
23,28,2
24,112,8
25,14,1
26,56,4
27,84,6
28,0,0
29,56,4
30,0,0
31,168,12
Total,910,65
